77.95,149.3,200.1,245.5,292.9,376.4,431.6,297.4,335.9,149.3,200.1
0.313,0.8397,1.548,2.605,4.306,9.6,15.56,40.48,55.85,0.8397,1.548
2642,2776,2873,2960,3052,3215,3324,2953,3015,2776,2873
7.798,7.694,7.63,7.568,7.507,7.411,7.352,6.343,6.318,7.694,7.63
67.89,92.23,109.5,125.6,142.8,158.8,195.5,230.2,264.9,92.23,109.5
0.2846,0.7633,1.408,2.369,3.914,6,14.14,28.08,50.77,0.7633,1.408
284.2,386.3,459.1,527.8,601.4,670.5,832.3,991.2,1159,386.3,459.1
0.9291,1.218,1.413,1.588,1.769,1.931,2.288,2.612,2.93,1.218,1.413
63.89,87.23,104.5,121.6,138.8,158.8,193.5,228.2,262.9,87.23,104.5
0.2382,0.6311,1.186,2.092,3.497,6,13.55,27.06,49.17,0.6311,1.186
267.4,365.3,437.9,510.8,584.2,670.5,823.3,981.8,1149,365.3,437.9
0.8797,1.16,1.357,1.546,1.727,1.931,2.269,2.594,2.911,1.16,1.357
